Name,Population,Poverty Rate
Alabama,4799277.0,18.140878303127742
Alaska,720316.0,9.650486730823694
Arizona,6479703.0,17.46840866008828
Arkansas,2933369.0,18.658682218295755
California,37659181.0,15.628106729139967
Colorado,5119329.0,12.909387148198524
Connecticut,3583561.0,9.888153152688066
Delaware,908446.0,11.40772263843971
District of Columbia,619371.0,17.630789946574833
Florida,19091156.0,15.990686996638653
Georgia,9810417.0,17.702407553114206
Hawaii,1376298.0,10.864725517293493
Idaho,1583364.0,15.176421846145296
Illinois,12848554.0,13.79402693875124
Indiana,6514861.0,14.887209412449476
Iowa,3062553.0,11.996984215456843
Kansas,2868107.0,13.34747971397162
Kentucky,4361333.0,18.255932303265997
Louisiana,4567968.0,18.53734527036967
Maine,1328320.0,13.221512888460612
Maryland,5834299.0,9.569770078633269
Massachusetts,6605058.0,10.981750652303129
Michigan,9886095.0,16.44716139183368
Minnesota,5347740.0,11.189605328606103
Mississippi,2976872.0,21.946560013329428
Missouri,6007182.0,14.997531288381142
Montana,998554.0,14.874308249729108
Nebraska,1841625.0,12.423213194868662
Nevada,2730066.0,14.773049442760724
New Hampshire,1319171.0,8.403686860914924
New Jersey,8832406.0,10.196349669614373
New Mexico,2069706.0,19.99322609104868
New York,19487053.0,14.902109621193107
North Carolina,9651380.0,17.027502802708007
North Dakota,689781.0,11.515683963460866
Ohio,11549590.0,15.358579828374861
Oklahoma,3785742.0,16.34245017225157
Oregon,3868721.0,15.890988262012174
Pennsylvania,12731381.0,12.872287774594131
Rhode Island,1051695.0,13.04979105158815
South Carolina,4679602.0,17.529439469424965
South Dakota,825198.0,13.582921916921757
Tennessee,6402387.0,17.208144399893353
Texas,25639373.0,17.226743415293345
Utah,2813673.0,12.446542295426655
Vermont,625904.0,11.323301976021883
Virginia,8100653.0,10.957079632962923
Washington,6819579.0,13.09774401029741
West Virginia,1853619.0,17.346930518083813
Wisconsin,5706871.0,12.68173049644893
Wyoming,570134.0,11.18035409219587
Puerto Rico,3682966.0,44.641411297307656
